Feature,Importance
Wind Speed (km/h),0.15462438512757917
Humidity,0.11702230224202821
Pressure (millibars),0.10578346190905072
Visibility (km),0.09864030192954563
Apparent Temperature (C),0.09096253625104812
Temperature (C),0.08536330704648319
Year,0.0645629724091683
Hour,0.05544517338311633
Wind Direction Cos,0.05148773374243424
Wind Direction Sin,0.05041505632133472
Day,0.04941755864276316
Month,0.03938649897667677
DayOfWeek,0.030704023684555742
Precip Type_snow,0.00366634443391204
Precip Type_rain,0.0025183439003036803
